org,repo,url,number,author,created_at,merged_at,base_branch,head_branch,changed_files,commits,additions,deletions,reviews,time_of_1st_review,reviewers,hrs_open,hrs_to_1st_review,mins_to_1st_review
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/178",178,"vijetmahabaleshwar-okta","2020-07-20T22:22:08Z","2020-07-21T16:49:17Z","master","vm-unique-resource-names",17,1,46,25,2,"2020-07-21T16:38:43Z","shuowu,shuowu-okta",18.45,18.28,1096.58
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/180",180,"shuowu","2020-07-27T18:49:32Z","2020-07-28T17:05:52Z","4.0","sw-fix-url-generation-issue-OKTA-317349",5,3,80,4,4,"2020-07-27T19:37:30Z","vijetmahabaleshwar-okta,aarongranick-okta,shuowu",22.27,0.8,47.97
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/182",182,"vijetmahabaleshwar-okta","2020-07-30T22:19:19Z","2020-07-31T18:00:40Z","master","vm-pub-pr-54",1,3,31,31,4,"2020-07-30T22:45:17Z","swiftone,vijetmahabaleshwar-okta,shuowu-okta",19.69,0.43,25.97
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/184",184,"aarongranick-okta","2020-08-04T17:25:32Z","2020-09-04T17:06:16Z","4.1","ag-hbs-fix-4.1",4,1,79,3,1,"2020-09-04T17:06:06Z","shuowu-okta",743.68,743.68,44620.57
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/190",190,"vijetmahabaleshwar-okta","2020-08-05T22:48:35Z","2020-08-10T16:35:40Z","master","vm-OKTA-319394",2,1,10,6,1,"2020-08-10T16:34:10Z","shuowu-okta",113.78,113.76,6825.58
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/193",193,"shuowu","2020-08-11T21:28:21Z","2020-09-04T18:05:00Z","4.1","sw-pub-pr-191",4,4,72,3,3,"2020-08-11T21:33:10Z","swiftone,aarongranick-okta",572.61,0.08,4.82
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/194",194,"vijetmahabaleshwar-okta","2020-08-17T20:00:37Z","2020-08-17T22:46:26Z","master","vm-update-inlinehook-test",1,1,2,1,3,"2020-08-17T20:55:56Z","swiftone,vijetmahabaleshwar-okta",2.76,0.92,55.32
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/196",196,"aarongranick-okta","2020-08-18T15:51:17Z","2020-08-18T21:28:39Z","master","ag-OKTA-323250-update-flat",2,1,7,9,1,"2020-08-18T16:55:44Z","shuowu",5.62,1.07,64.45
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/197",197,"aarongranick-okta","2020-08-18T21:53:58Z","2020-10-16T22:30:31Z","master","ag-release-4.2",1,1,24,0,1,"2020-08-19T05:25:49Z","shuowu",1416.61,7.53,451.85
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/199",199,"aarongranick-okta","2020-09-09T20:36:36Z","2020-09-09T22:34:29Z","master","ag-OKTA-328744-fix-config-readme",1,1,4,6,0,"","",1.96,0,0
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/203",203,"swiftone","2020-10-06T18:00:44Z","2020-10-15T09:48:26Z","master","pub-bump-fetch-version",2,2,18,28,1,"2020-10-09T16:07:36Z","vijetmahabaleshwar-okta",207.8,70.11,4206.87
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/204",204,"aarongranick-okta","2020-10-08T02:52:49Z","2020-10-08T21:54:08Z","3.3","ag-release-3.3.2",3,2,12,10,1,"2020-10-08T16:37:38Z","shuowu",19.02,13.75,824.82
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/205",205,"shuowu","2020-10-08T16:20:49Z","2020-10-13T15:50:54Z","master","sw-add-required-param-validation-OKTA-332240",14,6,1463,120,2,"2020-10-09T20:06:46Z","swiftone",119.5,27.77,1665.95
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/206",206,"aarongranick-okta","2020-10-08T18:19:00Z","2020-10-16T21:11:17Z","4.1","ag-release-4.1.2",2,2,4,1,1,"2020-10-08T18:30:06Z","shuowu",194.87,0.19,11.1
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/208",208,"volodymyrmakarchuk-okta","2020-10-15T20:02:15Z","2020-10-16T18:25:38Z","4.1","vmakarchuk-OKTA-334109-release-4.1.2",3,4,29,37,1,"2020-10-16T18:25:24Z","aarongranick-okta",22.39,22.39,1343.15
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/211",211,"shuowu","2020-11-11T17:16:28Z","2020-11-16T16:54:45Z","4.2","sw-cherry-pick-hbs-fix-to-4.2",5,3,80,4,1,"2020-11-11T19:36:31Z","aarongranick-okta",119.64,2.33,140.05
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/224",224,"oleksandrpravosudko-okta","2021-02-16T14:01:07Z","2021-02-24T12:57:25Z","op-ts-types-support","op-okta-291118-operations-typescript-definitions",14,20,980,33,5,"2021-02-18T17:28:42Z","swiftone,oleksandrpravosudko-okta,aarongranick-okta",190.94,51.46,3087.58
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/225",225,"oleksandrpravosudko-okta","2021-02-16T15:23:33Z","2021-03-12T12:41:48Z","op-ts-types-support","op-okta-241753-models-typescript-definitions",342,33,11059,520,4,"2021-03-04T19:42:05Z","swiftone,oleksandrpravosudko-okta,shuowu",573.3,388.31,23298.53
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/229",229,"oleksandrpravosudko-okta","2021-02-26T17:46:27Z","2021-03-09T16:01:14Z","op-okta-241753-models-typescript-definitions","op-okta-291119-core-objects-typescript-definitions",23,20,1330,84,0,"","",262.25,0,0
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/230",230,"oleksandrpravosudko-okta","2021-03-09T16:25:36Z","2021-03-12T13:08:31Z","op-ts-types-support","op-okta-291119-core-objects-typescript-definitions",74,58,2227,238,4,"2021-03-09T16:57:52Z","shuowu,oleksandrpravosudko-okta",68.72,0.54,32.27
